Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races,Total,Year
Nebraska,0.087,0.281,0.24600000000000002,0.19699999999999998,0.32,0.2008333333333334,0.11699999999999999,2016
Nevada,0.095,0.214,0.18899999999999997,0.107,0.31,0.129,0.136,2016
New Hampshire,0.063,0.2580227272727273,0.15,0.1293658536585366,0.26397499999999996,0.203,0.069,2016
New Jersey,0.064,0.171,0.183,0.064,0.273,0.12,0.10300000000000001,2016
New Mexico,0.124,0.213,0.24100000000000002,0.1293658536585366,0.325,0.21100000000000002,0.201,2016
New York,0.096,0.205,0.243,0.168,0.23399999999999999,0.184,0.14800000000000002,2016
North Carolina,0.11,0.244,0.278,0.113,0.23600000000000002,0.21,0.157,2016
North Dakota,0.085,0.2580227272727273,0.272,0.1293658536585366,0.38299999999999995,0.2008333333333334,0.11599999999999999,2016
Ohio,0.11,0.306,0.259,0.154,0.303,0.261,0.14400000000000002,2016
Oklahoma,0.122,0.28800000000000003,0.259,0.157,0.228,0.198,0.161,2016
Oregon,0.111,0.257,0.231,0.149,0.242,0.177,0.134,2016
Pennsylvania,0.09300000000000001,0.264,0.28300000000000003,0.133,0.345,0.20600000000000002,0.128,2016
Rhode Island,0.095,0.205,0.23199999999999998,0.105,0.26397499999999996,0.264,0.127,2016
South Carolina,0.10099999999999999,0.244,0.262,0.107,0.26397499999999996,0.293,0.152,2016
South Dakota,0.081,0.2580227272727273,0.306,0.1293658536585366,0.555,0.32799999999999996,0.138,2016
Tennessee,0.125,0.261,0.287,0.10400000000000001,0.26397499999999996,0.20600000000000002,0.157,2016
Texas,0.08900000000000001,0.204,0.223,0.10800000000000001,0.129,0.149,0.157,2016
Utah,0.08199999999999999,0.392,0.18,0.145,0.363,0.124,0.10400000000000001,2016
Vermont,0.111,0.2580227272727273,0.22753846153846163,0.1293658536585366,0.26397499999999996,0.2008333333333334,0.11199999999999999,2016
Virginia,0.086,0.182,0.153,0.07200000000000001,0.099,0.146,0.111,2016
Washington,0.092,0.22,0.195,0.096,0.242,0.14800000000000002,0.114,2016
West Virginia,0.17600000000000002,0.245,0.267,0.1293658536585366,0.26397499999999996,0.315,0.183,2016
Wisconsin,0.08800000000000001,0.313,0.242,0.18600000000000003,0.271,0.198,0.11800000000000001,2016
Wyoming,0.105,0.2580227272727273,0.17800000000000002,0.1293658536585366,0.21600000000000003,0.2008333333333334,0.11699999999999999,2016
Puerto Rico,0.375,0.452,0.442,0.1293658536585366,0.26397499999999996,0.406,0.441,2016
United States,0.096,0.22899999999999998,0.193,0.11199999999999999,0.262,0.159,0.134,2017
Alabama,0.11699999999999999,0.26899999999999996,0.306,0.193,0.2637368421052632,0.239,0.168,2017
Alaska,0.083,0.24686363636363629,0.21098,0.12899999999999998,0.24600000000000002,0.11199999999999999,0.11699999999999999,2017
Arizona,0.10099999999999999,0.23,0.19699999999999998,0.109,0.36,0.14300000000000002,0.147,2017
Arkansas,0.13,0.278,0.237,0.15,0.284,0.163,0.162,2017
California,0.08900000000000001,0.204,0.174,0.10300000000000001,0.177,0.121,0.132,2017
Colorado,0.083,0.136,0.163,0.086,0.128,0.122,0.10300000000000001,2017
Connecticut,0.057999999999999996,0.147,0.204,0.08800000000000001,0.2637368421052632,0.11900000000000001,0.094,2017
Delaware,0.094,0.19,0.20199999999999999,0.12300000000000001,0.2637368421052632,0.19,0.129,2017
District of Columbia,0.059000000000000004,0.249,0.154,0.175,0.2637368421052632,0.17475000000000004,0.16399999999999998,2017
Florida,0.1,0.217,0.177,0.135,0.18899999999999997,0.166,0.14,2017
Georgia,0.099,0.218,0.23800000000000002,0.09699999999999999,0.171,0.20600000000000002,0.152,2017
Hawaii,0.102,0.24686363636363629,0.188,0.095,0.2637368421052632,0.092,0.106,2017
Idaho,0.11900000000000001,0.602,0.188,0.157,0.201,0.124,0.132,2017
Illinois,0.08900000000000001,0.261,0.152,0.114,0.185,0.172,0.127,2017
Indiana,0.11,0.261,0.214,0.17,0.16699999999999998,0.22899999999999998,0.135,2017
Iowa,0.087,0.32899999999999996,0.14300000000000002,0.14400000000000002,0.2637368421052632,0.183,0.102,2017
Kansas,0.098,0.27899999999999997,0.16699999999999998,0.161,0.19399999999999998,0.16,0.12,2017
Kentucky,0.162,0.249,0.26,0.16,0.2637368421052632,0.239,0.174,2017
Louisiana,0.122,0.337,0.245,0.16699999999999998,0.245,0.21,0.2,2017
Maine,0.106,0.24686363636363629,0.19399999999999998,0.12899999999999998,0.369,0.213,0.114,2017
Maryland,0.064,0.134,0.14,0.071,0.2637368421052632,0.12,0.094,2017
Massachusetts,0.067,0.16399999999999998,0.253,0.159,0.2637368421052632,0.14,0.10400000000000001,2017
Michigan,0.109,0.297,0.21100000000000002,0.094,0.152,0.223,0.142,2017
Minnesota,0.07,0.27899999999999997,0.23399999999999999,0.127,0.268,0.121,0.098,2017
Mississippi,0.11900000000000001,0.313,0.179,0.16399999999999998,0.39,0.256,0.19699999999999998,2017
Missouri,0.11199999999999999,0.237,0.17300000000000001,0.20199999999999999,0.159,0.19699999999999998,0.133,2017
Montana,0.107,0.24686363636363629,0.226,0.12899999999999998,0.27399999999999997,0.205,0.126,2017
Nebraska,0.077,0.275,0.21100000000000002,0.207,0.20199999999999999,0.188,0.107,2017
Nevada,0.091,0.295,0.157,0.10300000000000001,0.268,0.114,0.131,2017
New Hampshire,0.07,0.21,0.21098,0.091,0.2637368421052632,0.17475000000000004,0.075,2017
New Jersey,0.055999999999999994,0.17800000000000002,0.17300000000000001,0.065,0.2637368421052632,0.109,0.09699999999999999,2017
New Mexico,0.11800000000000001,0.24100000000000002,0.23199999999999998,0.12899999999999998,0.33799999999999997,0.205,0.196,2017
New York,0.09300000000000001,0.20800000000000002,0.217,0.149,0.27699999999999997,0.158,0.14,2017
North Carolina,0.10400000000000001,0.217,0.276,0.133,0.253,0.205,0.149,2017
North Dakota,0.08,0.24686363636363629,0.16899999999999998,0.12899999999999998,0.32899999999999996,0.196,0.098,2017
Ohio,0.106,0.284,0.265,0.138,0.308,0.26,0.139,2017
Oklahoma,0.12300000000000001,0.258,0.22899999999999998,0.098,0.205,0.188,0.154,2017
Oregon,0.11699999999999999,0.263,0.18899999999999997,0.136,0.245,0.159,0.132,2017
Pennsylvania,0.091,0.253,0.27899999999999997,0.14,0.32299999999999995,0.17800000000000002,0.125,2017
Rhode Island,0.08,0.222,0.24100000000000002,0.14,0.2637368421052632,0.142,0.11699999999999999,2017
South Carolina,0.105,0.243,0.272,0.13699999999999998,0.24600000000000002,0.23399999999999999,0.154,2017
South Dakota,0.079,0.24686363636363629,0.16,0.12899999999999998,0.532,0.17475000000000004,0.122,2017
Tennessee,0.12300000000000001,0.242,0.243,0.11699999999999999,0.21600000000000003,0.209,0.151,2017
Texas,0.085,0.19,0.204,0.099,0.17800000000000002,0.129,0.146,2017
Utah,0.08,0.196,0.157,0.131,0.28800000000000003,0.109,0.096,2017
Vermont,0.10800000000000001,0.24686363636363629,0.21098,0.12899999999999998,0.2637368421052632,0.17475000000000004,0.111,2017
Virginia,0.08199999999999999,0.18,0.12300000000000001,0.068,0.2637368421052632,0.135,0.105,2017
Washington,0.08800000000000001,0.201,0.21100000000000002,0.09699999999999999,0.29100000000000004,0.126,0.11199999999999999,2017
West Virginia,0.184,0.305,0.264,0.12899999999999998,0.5529999999999999,0.285,0.191,2017
Wisconsin,0.083,0.292,0.205,0.142,0.266,0.209,0.109,2017
Wyoming,0.10099999999999999,0.24686363636363629,0.214,0.12899999999999998,0.28300000000000003,0.226,0.11800000000000001,2017
Puerto Rico,0.311,0.24686363636363629,0.446,0.12899999999999998,0.2637368421052632,0.17475000000000004,0.445,2017
United States,0.094,0.22399999999999998,0.18899999999999997,0.10800000000000001,0.245,0.155,0.131,2018
Alabama,0.114,0.273,0.33799999999999997,0.087,0.18,0.22699999999999998,0.168,2018
Alaska,0.07200000000000001,0.23525000000000001,0.049,0.21,0.213,0.12,0.107,2018
Arizona,0.09,0.187,0.19399999999999998,0.122,0.345,0.142,0.139,2018
Arkansas,0.13699999999999998,0.305,0.255,0.187,0.138,0.204,0.174,2018
California,0.09,0.196,0.166,0.099,0.165,0.11,0.128,2018
Colorado,0.075,0.177,0.147,0.096,0.254,0.131,0.098,2018
Connecticut,0.06,0.18100000000000002,0.231,0.086,0.24013513513513507,0.133,0.10400000000000001,2018
Delaware,0.08,0.18100000000000002,0.21600000000000003,0.078,0.24013513513513507,0.20199999999999999,0.11800000000000001,2018
District of Columbia,0.064,0.27,0.12300000000000001,0.12527272727272729,0.24013513513513507,0.12300000000000001,0.166,2018
Florida,0.09699999999999999,0.209,0.166,0.125,0.157,0.14,0.134,2018
Georgia,0.1,0.198,0.21600000000000003,0.102,0.19899999999999998,0.182,0.14400000000000002,2018
Hawaii,0.096,0.23525000000000001,0.128,0.08,0.24013513513513507,0.11199999999999999,0.095,2018
Idaho,0.10400000000000001,0.23525000000000001,0.20800000000000002,0.12527272727272729,0.23399999999999999,0.16399999999999998,0.12,2018
Illinois,0.084,0.23800000000000002,0.149,0.11599999999999999,0.24013513513513507,0.154,0.11900000000000001,2018
Indiana,0.10400000000000001,0.258,0.217,0.18899999999999997,0.261,0.23800000000000002,0.131,2018
Iowa,0.09300000000000001,0.35700000000000004,0.19,0.153,0.24013513513513507,0.25,0.11199999999999999,2018
Kansas,0.09300000000000001,0.278,0.221,0.085,0.161,0.225,0.122,2018
Kentucky,0.153,0.287,0.24100000000000002,0.17,0.24013513513513507,0.19399999999999998,0.16699999999999998,2018
Louisiana,0.121,0.302,0.22399999999999998,0.141,0.23199999999999998,0.225,0.187,2018
Maine,0.106,0.24600000000000002,0.191,0.12527272727272729,0.24013513513513507,0.209,0.11199999999999999,2018
Maryland,0.059000000000000004,0.128,0.13,0.07,0.24013513513513507,0.08900000000000001,0.08800000000000001,2018
Massachusetts,0.068,0.171,0.233,0.113,0.24013513513513507,0.114,0.1,2018
Michigan,0.11,0.272,0.19899999999999998,0.132,0.244,0.193,0.14,2018
Minnesota,0.07200000000000001,0.276,0.175,0.126,0.314,0.14300000000000002,0.09699999999999999,2018
Mississippi,0.12300000000000001,0.31,0.235,0.237,0.392,0.21,0.2,2018
Missouri,0.11,0.251,0.209,0.07200000000000001,0.172,0.213,0.132,2018
Montana,0.10800000000000001,0.23525000000000001,0.2057115384615385,0.12527272727272729,0.285,0.22,0.121,2018
Nebraska,0.087,0.21,0.23800000000000002,0.165,0.345,0.177,0.115,2018
Nevada,0.092,0.207,0.17600000000000002,0.078,0.264,0.16699999999999998,0.13,2018
New Hampshire,0.067,0.23525000000000001,0.13699999999999998,0.098,0.24013513513513507,0.1714255319148936,0.07200000000000001,2018
New Jersey,0.053,0.165,0.171,0.068,0.24013513513513507,0.10099999999999999,0.094,2018
New Mexico,0.125,0.254,0.243,0.139,0.301,0.10099999999999999,0.201,2018
New York,0.091,0.198,0.21899999999999997,0.14800000000000002,0.22399999999999998,0.14800000000000002,0.138,2018
North Carolina,0.09699999999999999,0.213,0.254,0.135,0.209,0.175,0.141,2018
North Dakota,0.08199999999999999,0.23525000000000001,0.17600000000000002,0.12527272727272729,0.249,0.1714255319148936,0.102,2018
Ohio,0.109,0.28,0.25,0.125,0.26899999999999996,0.24100000000000002,0.139,2018
Oklahoma,0.11800000000000001,0.3,0.233,0.114,0.18600000000000003,0.20199999999999999,0.154,2018
Oregon,0.107,0.174,0.18899999999999997,0.095,0.204,0.172,0.122,2018
Pennsylvania,0.08800000000000001,0.247,0.263,0.136,0.221,0.203,0.122,2018
Rhode Island,0.079,0.151,0.299,0.207,0.24013513513513507,0.16,0.126,2018
South Carolina,0.1,0.253,0.24600000000000002,0.111,0.27899999999999997,0.17600000000000002,0.151,2018
South Dakota,0.087,0.23525000000000001,0.255,0.12527272727272729,0.505,0.1714255319148936,0.133,2018
Tennessee,0.11900000000000001,0.26899999999999996,0.268,0.127,0.253,0.221,0.154,2018
Texas,0.084,0.19699999999999998,0.20800000000000002,0.10400000000000001,0.11199999999999999,0.126,0.14800000000000002,2018
Utah,0.073,0.201,0.142,0.105,0.278,0.096,0.08800000000000001,2018
Vermont,0.109,0.23525000000000001,0.222,0.12527272727272729,0.24013513513513507,0.1714255319148936,0.111,2018
Virginia,0.083,0.182,0.131,0.081,0.155,0.11199999999999999,0.107,2018
Washington,0.083,0.196,0.172,0.10400000000000001,0.18,0.141,0.105,2018
West Virginia,0.17,0.26,0.168,0.239,0.24013513513513507,0.345,0.177,2018
Wisconsin,0.08199999999999999,0.327,0.16,0.149,0.244,0.171,0.10800000000000001,2018
Wyoming,0.096,0.23525000000000001,0.204,0.12527272727272729,0.21600000000000003,0.1714255319148936,0.111,2018
Puerto Rico,0.368,0.292,0.433,0.12527272727272729,0.24013513513513507,0.1714255319148936,0.43200000000000005,2018
United States,0.09,0.212,0.172,0.09699999999999999,0.242,0.149,0.12300000000000001,2019
Alabama,0.115,0.23600000000000002,0.244,0.107,0.156,0.18600000000000003,0.154,2019
Alaska,0.069,0.23131818181818178,0.149,0.10669767441860466,0.24,0.069,0.107,2019
Arizona,0.092,0.175,0.182,0.115,0.29,0.153,0.134,2019
Arkansas,0.134,0.289,0.201,0.125,0.155,0.22699999999999998,0.165,2019
California,0.084,0.193,0.15,0.09,0.203,0.107,0.11800000000000001,2019
Colorado,0.07,0.19699999999999998,0.14300000000000002,0.08199999999999999,0.18100000000000002,0.14300000000000002,0.094,2019
Connecticut,0.057999999999999996,0.184,0.22,0.08800000000000001,0.24709523809523815,0.138,0.102,2019
Delaware,0.073,0.17300000000000001,0.21100000000000002,0.084,0.24709523809523815,0.17104166666666668,0.109,2019
District of Columbia,0.051,0.23399999999999999,0.08900000000000001,0.126,0.24709523809523815,0.17104166666666668,0.14300000000000002,2019
Florida,0.092,0.198,0.157,0.102,0.139,0.147,0.127,2019
Georgia,0.091,0.191,0.19699999999999998,0.096,0.23199999999999998,0.14400000000000002,0.134,2019
Hawaii,0.10099999999999999,0.23131818181818178,0.13699999999999998,0.091,0.5529999999999999,0.08800000000000001,0.098,2019
Idaho,0.096,0.23131818181818178,0.18600000000000003,0.19899999999999998,0.27399999999999997,0.10800000000000001,0.111,2019
Illinois,0.079,0.24100000000000002,0.136,0.102,0.209,0.126,0.114,2019
Indiana,0.1,0.25,0.153,0.133,0.184,0.231,0.122,2019
Iowa,0.099,0.305,0.184,0.11699999999999999,0.391,0.14400000000000002,0.114,2019
Kansas,0.08900000000000001,0.20800000000000002,0.20800000000000002,0.127,0.222,0.179,0.115,2019
Kentucky,0.15,0.23600000000000002,0.21100000000000002,0.126,0.24709523809523815,0.244,0.161,2019
Louisiana,0.125,0.294,0.253,0.11,0.188,0.226,0.187,2019
Maine,0.102,0.29100000000000004,0.092,0.10669767441860466,0.151,0.15,0.106,2019
Maryland,0.062,0.128,0.11599999999999999,0.081,0.18,0.124,0.091,2019
Massachusetts,0.065,0.17800000000000002,0.192,0.107,0.365,0.134,0.094,2019
Michigan,0.099,0.267,0.198,0.10400000000000001,0.21899999999999997,0.235,0.131,2019
Minnesota,0.066,0.26899999999999996,0.14800000000000002,0.094,0.355,0.138,0.09,2019
Mississippi,0.11699999999999999,0.305,0.308,0.11,0.36200000000000004,0.205,0.196,2019
Missouri,0.11,0.2,0.177,0.136,0.252,0.184,0.126,2019
Montana,0.109,0.23131818181818178,0.22699999999999998,0.10669767441860466,0.33799999999999997,0.22699999999999998,0.131,2019
Nebraska,0.081,0.146,0.198,0.151,0.214,0.18899999999999997,0.10300000000000001,2019
Nevada,0.099,0.212,0.168,0.099,0.145,0.114,0.13,2019
New Hampshire,0.073,0.23131818181818178,0.109,0.10669767441860466,0.24709523809523815,0.08199999999999999,0.075,2019
New Jersey,0.055999999999999994,0.163,0.157,0.057999999999999996,0.24709523809523815,0.1,0.092,2019
New Mexico,0.114,0.221,0.20800000000000002,0.128,0.272,0.174,0.177,2019
New York,0.091,0.191,0.185,0.134,0.258,0.163,0.129,2019
North Carolina,0.095,0.21100000000000002,0.21600000000000003,0.079,0.268,0.204,0.135,2019
North Dakota,0.083,0.23131818181818178,0.157,0.10669767441860466,0.38,0.17104166666666668,0.11,2019
Ohio,0.1,0.27,0.237,0.098,0.21100000000000002,0.244,0.13,2019
Oklahoma,0.124,0.282,0.221,0.15,0.19399999999999998,0.168,0.155,2019
Oregon,0.10099999999999999,0.273,0.161,0.11800000000000001,0.185,0.14400000000000002,0.115,2019
Pennsylvania,0.087,0.24600000000000002,0.271,0.127,0.322,0.18100000000000002,0.121,2019
Rhode Island,0.071,0.243,0.21899999999999997,0.062,0.24709523809523815,0.127,0.107,2019
South Carolina,0.092,0.23199999999999998,0.213,0.09,0.21,0.166,0.138,2019
South Dakota,0.077,0.23131818181818178,0.1870769230769231,0.10669767441860466,0.42700000000000005,0.17104166666666668,0.11,2019
Tennessee,0.11199999999999999,0.213,0.249,0.07200000000000001,0.281,0.23199999999999998,0.139,2019
Texas,0.079,0.184,0.187,0.092,0.12,0.11800000000000001,0.136,2019
Utah,0.07400000000000001,0.43799999999999994,0.158,0.122,0.23399999999999999,0.12300000000000001,0.094,2019
Vermont,0.098,0.36200000000000004,0.11800000000000001,0.10669767441860466,0.24709523809523815,0.17104166666666668,0.102,2019
Virginia,0.077,0.161,0.125,0.07,0.24709523809523815,0.136,0.099,2019
Washington,0.081,0.157,0.163,0.08199999999999999,0.18899999999999997,0.10099999999999999,0.09699999999999999,2019
West Virginia,0.15,0.27399999999999997,0.192,0.10669767441860466,0.24709523809523815,0.31,0.158,2019
Wisconsin,0.075,0.245,0.19399999999999998,0.107,0.23600000000000002,0.153,0.09699999999999999,2019
Wyoming,0.08800000000000001,0.23131818181818178,0.145,0.10669767441860466,0.151,0.196,0.099,2019
Puerto Rico,0.33299999999999996,0.23131818181818178,0.436,0.10669767441860466,0.24709523809523815,0.579,0.435,2019
